colony_id,x,y,frame,position,replicate
1,264.2783505154639,624.8453608247422,73,pos2,replicate3
6,160.53333333333333,437.6333333333333,174,pos2,replicate3
34,593.5017301038063,271.02076124567475,70,pos3,replicate3
38,718.7677165354331,389.7165354330709,74,pos3,replicate3
138,96.8273381294964,293.7913669064748,64,pos4,replicate3
139,285.13986013986016,381.75524475524475,75,pos4,replicate3
181,37.830148619957534,360.1380042462845,48,pos6,replicate3
185,241.26388888888889,529.2337962962963,55,pos6,replicate3
188,203.85135135135135,482.05405405405406,56,pos6,replicate3
190,188.53658536585365,411.0121951219512,60,pos6,replicate3
195,69.04081632653062,252.57142857142856,69,pos6,replicate3
204,676.8672566371681,286.3893805309734,137,pos6,replicate3
251,746.9012345679013,328.0987654320988,46,pos8,replicate3
252,577.1066666666667,330.0,73,pos8,replicate3
258,40.2,407.3375,90,pos8,replicate3
268,12.681818181818182,216.8181818181818,122,pos8,replicate3
375,400.9801699716714,429.4504249291785,100,pos10,replicate3
382,505.1038961038961,315.54545454545456,146,pos10,replicate3
425,413.7775467775468,309.9230769230769,66,pos14,replicate3
509,579.9375,404.9875,55,pos15,replicate3
541,341.73214285714283,396.5892857142857,78,pos17,replicate3
545,384.7321428571428,307.4107142857143,94,pos17,replicate3
566,227.15686274509804,395.5098039215686,150,pos17,replicate3
