colony_id,x,y,frame,position,replicate,hours,x_um,y_um,y_bin,x_bin,regrowth
,,,,pos15,replicate1,,,,,,no
,,,,pos15,replicate1,,,,,,no
,,,,pos16,replicate1,,,,,,no
,,,,pos15,replicate1,,,,,,no
,,,,pos15,replicate1,,,,,,no
,,,,pos16,replicate1,,,,,,no
,,,,pos17,replicate1,,,,,,no
,,,,pos17,replicate1,,,,,,no
,,,,pos18,replicate1,,,,,,no
,,,,pos19,replicate1,,,,,,no
,,,,pos20,replicate1,,,,,,no
,,,,pos21,replicate1,,,,,,no
,,,,pos22,replicate1,,,,,,no
,,,,pos23,replicate1,,,,,,no
