colony_id,x,y,frame,position,replicate,hours,x_um,y_um,y_bin,x_bin,regrowth
,,,,pos0,replicate3,,,,,,no
,,,,pos1,replicate3,,,,,,no
,,,,pos2,replicate3,,,,,,no
,,,,pos3,replicate3,,,,,,no
,,,,pos4,replicate3,,,,,,no
,,,,pos5,replicate3,,,,,,no
,,,,pos6,replicate3,,,,,,no
,,,,pos7,replicate3,,,,,,no
,,,,pos8,replicate3,,,,,,no
,,,,pos9,replicate3,,,,,,no
