strain,replicate,metric,intensity
svs002-svp023,rep3,median_mcherry,1423.0
svs002-svp023,rep3,median_mcherry,1407.0
svs002-svp023,rep3,median_mcherry,4308.0
svs002-svp023,rep3,median_mcherry,9728.0
svs002-svp023,rep3,median_mcherry,3921.0
svs002-svp023,rep3,median_mcherry,5617.0
svs002-svp023,rep3,median_mcherry,3469.0
svs002-svp023,rep3,median_mcherry,6889.0
svs002-svp023,rep3,median_mcherry,6429.0
svs002-svp023,rep3,median_mcherry,11710.0
svs002-svp023,rep3,median_mcherry,949.0
svs002-svp023,rep3,median_mcherry,2148.0
svs002-svp023,rep3,median_mcherry,9792.0
svs002-svp023,rep3,median_mcherry,520.0
svs002-svp023,rep3,median_mcherry,4157.0
svs002-svp023,rep3,median_mcherry,4208.0
svs002-svp023,rep3,median_mcherry,6700.0
svs002-svp023,rep3,median_mcherry,2872.0
svs002-svp023,rep3,median_mcherry,1424.0
svs002-svp023,rep3,median_mcherry,1238.0
svs002-svp023,rep3,median_mcherry,1340.0
svs002-svp023,rep3,median_mcherry,4634.0
svs002-svp023,rep3,median_mcherry,15577.0
svs002-svp023,rep3,median_mcherry,872.0
svs002-svp023,rep3,median_mcherry,4506.0
svs002-svp023,rep3,median_mcherry,10065.0
svs002-svp023,rep3,median_mcherry,1485.0
svs002-svp023,rep3,median_mcherry,1119.0
svs002-svp023,rep3,median_mcherry,6022.0
svs002-svp023,rep3,median_mcherry,1945.0
svs002-svp023,rep3,median_mcherry,2793.0
svs002-svp023,rep3,median_mcherry,5082.0
svs002-svp023,rep3,median_mcherry,4185.0
svs002-svp023,rep3,median_mcherry,4296.0
svs002-svp023,rep3,median_mcherry,8896.0
svs002-svp023,rep3,median_mcherry,1082.0
svs002-svp023,rep3,median_mcherry,643.0
svs002-svp023,rep3,median_mcherry,546.0
svs002-svp023,rep3,median_mcherry,7087.0
svs002-svp023,rep3,median_mcherry,9144.0
svs002-svp023,rep3,median_mcherry,6108.0
svs002-svp023,rep3,median_mcherry,1032.0
svs002-svp023,rep3,median_mcherry,550.0
svs002-svp023,rep3,median_mcherry,8880.0
svs002-svp023,rep3,median_mcherry,5100.0
svs002-svp023,rep3,median_mcherry,1834.0
svs002-svp023,rep3,median_mcherry,2164.0
svs002-svp023,rep3,median_mcherry,1933.0
svs002-svp023,rep3,median_mcherry,4909.0
svs002-svp023,rep3,median_mcherry,969.0
svs002-svp023,rep3,median_mcherry,1831.0
svs002-svp023,rep3,median_mcherry,5938.0
svs002-svp023,rep3,median_mcherry,2405.0
svs002-svp023,rep3,median_mcherry,900.0
svs002-svp023,rep3,median_mcherry,1757.0
svs002-svp023,rep3,median_mcherry,5809.0
svs002-svp023,rep3,median_mcherry,7471.0
svs002-svp023,rep3,median_mcherry,3701.0
svs002-svp023,rep3,median_mcherry,14807.0
svs002-svp023,rep3,median_mcherry,3793.0
svs002-svp023,rep3,median_mcherry,3929.0
svs002-svp023,rep3,median_mcherry,9841.0
svs002-svp023,rep3,median_mcherry,3794.0
svs002-svp023,rep3,median_mcherry,10985.0
svs002-svp023,rep3,median_mcherry,1563.0
svs002-svp023,rep3,median_mcherry,4787.0
svs002-svp023,rep3,median_mcherry,1131.0
svs002-svp023,rep3,median_mcherry,1284.0
svs002-svp023,rep3,median_mcherry,2472.0
svs002-svp023,rep3,median_mcherry,9748.0
svs002-svp023,rep3,median_mcherry,14336.0
svs002-svp023,rep3,median_mcherry,1275.0
svs002-svp023,rep3,median_mcherry,3276.0
svs002-svp023,rep3,median_mcherry,7688.0
svs002-svp023,rep3,median_mcherry,5434.0
svs002-svp023,rep3,median_mcherry,3949.0
svs002-svp023,rep3,median_mcherry,5937.0
svs002-svp023,rep3,median_mcherry,6542.0
svs002-svp023,rep3,median_mcherry,6372.0
svs002-svp023,rep3,median_mcherry,1353.0
svs002-svp023,rep3,median_mcherry,7976.0
svs002-svp023,rep3,median_mcherry,10608.0
svs002-svp023,rep3,median_mcherry,3480.0
svs002-svp023,rep3,median_mcherry,885.0
svs002-svp023,rep3,median_mcherry,13444.0
svs002-svp023,rep3,median_mcherry,5313.0
svs002-svp023,rep3,median_mcherry,16845.0
svs002-svp023,rep3,median_mcherry,3753.0
svs002-svp023,rep3,median_mcherry,1445.0
svs002-svp023,rep3,median_mcherry,8847.0
svs002-svp023,rep3,median_mcherry,12386.0
svs002-svp023,rep3,median_mcherry,7039.0
svs002-svp023,rep3,median_mcherry,2373.0
svs002-svp023,rep3,median_mcherry,7197.0
svs002-svp023,rep3,median_mcherry,5541.0
svs002-svp023,rep3,median_mcherry,2328.0
svs002-svp023,rep3,median_mcherry,5465.0
svs002-svp023,rep3,median_mcherry,11044.0
svs002-svp023,rep3,median_mcherry,2044.0
svs002-svp023,rep3,median_mcherry,741.0
svs002-svp023,rep3,median_mcherry,1416.0
svs002-svp023,rep3,median_mcherry,2112.0
svs002-svp023,rep3,median_mcherry,652.0
svs002-svp023,rep3,median_mcherry,3448.0
svs002-svp023,rep3,median_mcherry,1152.0
svs002-svp023,rep3,median_mcherry,1013.0
svs002-svp023,rep3,median_mcherry,796.0
svs002-svp023,rep3,median_mcherry,1938.0
svs002-svp023,rep3,median_mcherry,6437.0
svs002-svp023,rep3,median_mcherry,1875.0
svs002-svp023,rep3,median_mcherry,6661.0
svs002-svp023,rep3,median_mcherry,6093.0
svs002-svp023,rep3,median_mcherry,4327.0
svs002-svp023,rep3,median_mcherry,7767.0
svs002-svp023,rep3,median_mcherry,6245.0
svs002-svp023,rep3,median_mcherry,1349.0
svs002-svp023,rep3,median_mcherry,6488.0
svs002-svp023,rep3,median_mcherry,5875.0
svs002-svp023,rep3,median_mcherry,1083.0
svs002-svp023,rep3,median_mcherry,600.0
svs002-svp023,rep3,median_mcherry,4884.0
svs002-svp023,rep3,median_mcherry,949.0
svs002-svp023,rep3,median_mcherry,1733.0
svs002-svp023,rep3,median_mcherry,10101.0
svs002-svp023,rep3,median_mcherry,1082.0
svs002-svp023,rep3,median_mcherry,4324.0
svs002-svp023,rep3,median_mcherry,2129.0
svs002-svp023,rep3,median_mcherry,4341.0
svs002-svp023,rep3,median_mcherry,1395.0
svs002-svp023,rep3,median_mcherry,820.0
svs002-svp023,rep3,median_mcherry,5171.0
svs002-svp023,rep3,median_mcherry,13254.0
svs002-svp023,rep3,median_mcherry,6303.0
svs002-svp023,rep3,median_mcherry,2681.0
svs002-svp023,rep3,median_mcherry,5569.0
svs002-svp023,rep3,median_mcherry,1251.0
svs002-svp023,rep3,median_mcherry,5080.0
svs002-svp023,rep3,median_mcherry,752.0
svs002-svp023,rep3,median_mcherry,1317.0
svs002-svp023,rep3,median_mcherry,6869.0
svs002-svp023,rep3,median_mcherry,1023.0
svs002-svp023,rep3,median_mcherry,1148.0
svs002-svp023,rep3,median_mcherry,2340.0
svs002-svp023,rep3,median_mcherry,3977.0
svs002-svp023,rep3,median_mcherry,1717.0
svs002-svp023,rep3,median_mcherry,962.0
svs002-svp023,rep3,median_mcherry,1846.0
svs002-svp023,rep3,median_mcherry,4074.0
svs002-svp023,rep3,median_mcherry,13893.0
svs002-svp023,rep3,median_mcherry,5281.0
svs002-svp023,rep3,median_mcherry,2380.0
svs002-svp023,rep3,median_mcherry,764.0
svs002-svp023,rep3,median_mcherry,529.0
svs002-svp023,rep3,median_mcherry,1303.0
svs002-svp023,rep3,median_mcherry,1368.0
svs002-svp023,rep3,median_mcherry,1116.0
svs002-svp023,rep3,median_mcherry,4392.0
svs002-svp023,rep3,median_mcherry,1575.0
svs002-svp023,rep3,median_mcherry,965.0
svs002-svp023,rep3,median_mcherry,1426.0
svs002-svp023,rep3,median_mcherry,3715.0
svs002-svp023,rep3,median_mcherry,2576.0
svs002-svp023,rep3,median_mcherry,1889.0
svs002-svp023,rep3,median_mcherry,1385.0
svs002-svp023,rep3,median_mcherry,1134.0
svs002-svp023,rep3,median_mcherry,548.0
svs002-svp023,rep3,median_mcherry,8180.0
svs002-svp023,rep3,median_mcherry,23423.0
svs002-svp023,rep3,median_mcherry,5399.0
svs002-svp023,rep3,median_mcherry,1029.0
svs002-svp023,rep3,median_mcherry,1826.0
svs002-svp023,rep3,median_mcherry,1196.0
svs002-svp023,rep3,median_mcherry,1628.0
svs002-svp023,rep3,median_mcherry,11673.0
svs002-svp023,rep3,median_mcherry,1292.0
svs002-svp023,rep3,median_mcherry,2237.0
svs002-svp023,rep3,median_mcherry,6480.0
svs002-svp023,rep3,median_mcherry,5596.0
svs002-svp023,rep3,median_mcherry,1602.0
svs002-svp023,rep3,median_mcherry,5652.0
svs002-svp023,rep3,median_mcherry,3786.0
svs002-svp023,rep3,median_mcherry,7945.0
svs002-svp023,rep3,median_mcherry,11096.0
svs002-svp023,rep3,median_mcherry,9453.0
svs002-svp023,rep3,median_mcherry,1585.0
svs002-svp023,rep3,median_mcherry,1257.0
svs002-svp023,rep3,median_mcherry,1385.0
svs002-svp023,rep3,median_mcherry,977.0
svs002-svp023,rep3,median_mcherry,9065.0
svs002-svp023,rep3,median_mcherry,4249.0
svs002-svp023,rep3,median_mcherry,2894.0
svs002-svp023,rep3,median_mcherry,676.0
svs002-svp023,rep3,median_mcherry,6896.0
svs002-svp023,rep3,median_mcherry,2972.0
svs002-svp023,rep3,median_mcherry,3706.0
svs002-svp023,rep3,median_mcherry,6719.0
svs002-svp023,rep3,median_mcherry,4212.0
svs002-svp023,rep3,median_mcherry,4532.0
svs002-svp023,rep3,median_mcherry,6654.0
svs002-svp023,rep3,median_mcherry,848.0
svs002-svp023,rep3,median_mcherry,2540.0
svs002-svp023,rep3,median_mcherry,1833.0
svs002-svp023,rep3,median_mcherry,7013.0
svs002-svp023,rep3,median_mcherry,1024.0
svs002-svp023,rep3,median_mcherry,3497.0
svs002-svp023,rep3,median_mcherry,8843.0
svs002-svp023,rep3,median_mcherry,1056.0
svs002-svp023,rep3,median_mcherry,5445.0
svs002-svp023,rep3,median_mcherry,1842.0
svs002-svp023,rep3,median_mcherry,20905.0
svs002-svp023,rep3,median_mcherry,4597.0
svs002-svp023,rep3,median_mcherry,1492.0
svs002-svp023,rep3,median_mcherry,25164.0
svs002-svp023,rep3,median_mcherry,2315.0
svs002-svp023,rep3,median_mcherry,4597.0
svs002-svp023,rep3,median_mcherry,1123.0
svs002-svp023,rep3,median_mcherry,1280.0
svs002-svp023,rep3,median_mcherry,1143.0
svs002-svp023,rep3,median_mcherry,2612.0
svs002-svp023,rep3,median_mcherry,836.0
svs002-svp023,rep3,median_mcherry,4911.0
svs002-svp023,rep3,median_mcherry,2657.0
svs002-svp023,rep3,median_mcherry,1385.0
svs002-svp023,rep3,median_mcherry,561.0
svs002-svp023,rep3,median_mcherry,12628.0
svs002-svp023,rep3,median_mcherry,800.0
svs002-svp023,rep3,median_mcherry,12324.0
svs002-svp023,rep3,median_mcherry,5405.0
svs002-svp023,rep3,median_mcherry,4440.0
svs002-svp023,rep3,median_mcherry,4413.0
svs002-svp023,rep3,median_mcherry,897.0
svs002-svp023,rep3,median_mcherry,865.0
svs002-svp023,rep3,median_mcherry,18705.0
svs002-svp023,rep3,median_mcherry,7556.0
svs002-svp023,rep3,median_mcherry,4329.0
svs002-svp023,rep3,median_mcherry,9379.0
svs002-svp023,rep3,median_mcherry,3565.0
svs002-svp023,rep3,median_mcherry,3849.0
svs002-svp023,rep3,median_mcherry,4802.0
svs002-svp023,rep3,median_mcherry,4012.0
svs002-svp023,rep3,median_mcherry,5208.0
svs002-svp023,rep3,median_mcherry,7225.0
svs002-svp023,rep3,median_mcherry,3656.0
svs002-svp023,rep3,median_mcherry,9099.0
svs002-svp023,rep3,median_mcherry,11254.0
svs002-svp023,rep3,median_mcherry,848.0
svs002-svp023,rep3,median_mcherry,4792.0
svs002-svp023,rep3,median_mcherry,1326.0
svs002-svp023,rep3,median_mcherry,1798.0
svs002-svp023,rep3,median_mcherry,4096.0
svs002-svp023,rep3,median_mcherry,2104.0
svs002-svp023,rep3,median_mcherry,6216.0
svs002-svp023,rep3,median_mcherry,2797.0
svs002-svp023,rep3,median_mcherry,1758.0
svs002-svp023,rep3,median_mcherry,1799.0
svs002-svp023,rep3,median_mcherry,1097.0
svs002-svp023,rep3,median_mcherry,1566.0
svs002-svp023,rep3,median_mcherry,8353.0
svs002-svp023,rep3,median_mcherry,985.0
svs002-svp023,rep3,median_mcherry,3271.0
svs002-svp023,rep3,median_mcherry,1238.0
svs002-svp023,rep3,median_mcherry,3429.0
svs002-svp023,rep3,median_mcherry,4107.0
svs002-svp023,rep3,median_mcherry,911.0
svs002-svp023,rep3,median_mcherry,3996.0
svs002-svp023,rep3,median_mcherry,4725.0
svs002-svp023,rep3,median_mcherry,7771.0
svs002-svp023,rep3,median_mcherry,2343.0
svs002-svp023,rep3,median_mcherry,3847.0
svs002-svp023,rep3,median_mcherry,7424.0
svs002-svp023,rep3,median_mcherry,1821.0
svs002-svp023,rep3,median_mcherry,1351.0
svs002-svp023,rep3,median_mcherry,6921.0
svs002-svp023,rep3,median_mcherry,781.0
svs002-svp023,rep3,median_mcherry,4209.0
svs002-svp023,rep3,median_mcherry,4409.0
svs002-svp023,rep3,median_mcherry,3655.0
svs002-svp023,rep3,median_mcherry,10952.0
svs002-svp023,rep3,median_mcherry,2615.0
svs002-svp023,rep3,median_mcherry,2569.0
svs002-svp023,rep3,median_mcherry,10192.0
svs002-svp023,rep3,median_mcherry,13528.0
svs002-svp023,rep3,median_mcherry,4784.0
svs002-svp023,rep3,median_mcherry,5992.0
svs002-svp023,rep3,median_mcherry,3697.0
svs002-svp023,rep3,median_mcherry,8168.0
svs002-svp023,rep3,median_mcherry,804.0
svs002-svp023,rep3,median_mcherry,3151.0
svs002-svp023,rep3,median_mcherry,873.0
svs002-svp023,rep3,median_mcherry,488.0
svs002-svp023,rep3,median_mcherry,1901.0
svs002-svp023,rep3,median_mcherry,661.0
svs002-svp023,rep3,median_mcherry,3288.0
svs002-svp023,rep3,median_mcherry,18846.0
svs002-svp023,rep3,median_mcherry,3064.0
svs002-svp023,rep3,median_mcherry,3945.0
svs002-svp023,rep3,median_mcherry,813.0
svs002-svp023,rep3,median_mcherry,4444.0
svs002-svp023,rep3,median_mcherry,1477.0
svs002-svp023,rep3,median_mcherry,1025.0
svs002-svp023,rep3,median_mcherry,1960.0
svs002-svp023,rep3,median_mcherry,4375.0
svs002-svp023,rep3,median_mcherry,3269.0
svs002-svp023,rep3,median_mcherry,2673.0
svs002-svp023,rep3,median_mcherry,1253.0
svs002-svp023,rep3,median_mcherry,2639.0
svs002-svp023,rep3,median_mcherry,1386.0
svs002-svp023,rep3,median_mcherry,2822.0
svs002-svp023,rep3,median_mcherry,1681.0
svs002-svp023,rep3,median_mcherry,7166.0
svs002-svp023,rep3,median_mcherry,11673.0
svs002-svp023,rep3,median_mcherry,1846.0
svs002-svp023,rep3,median_mcherry,1704.0
svs002-svp023,rep3,median_mcherry,8009.0
svs002-svp023,rep3,median_mcherry,6040.0
svs002-svp023,rep3,median_mcherry,3652.0
svs002-svp023,rep3,median_mcherry,3560.0
svs002-svp023,rep3,median_mcherry,3191.0
svs002-svp023,rep3,median_mcherry,669.0
svs002-svp023,rep3,median_mcherry,936.0
svs002-svp023,rep3,median_mcherry,1266.0
svs002-svp023,rep3,median_mcherry,6213.0
svs002-svp023,rep3,median_mcherry,1861.0
svs002-svp023,rep3,median_mcherry,4384.0
svs002-svp023,rep3,median_mcherry,9952.0
svs002-svp023,rep3,median_mcherry,4528.0
svs002-svp023,rep3,median_mcherry,1541.0
svs002-svp023,rep3,median_mcherry,4565.0
svs002-svp023,rep3,median_mcherry,13564.0
svs002-svp023,rep3,median_mcherry,14220.0
svs002-svp023,rep3,median_mcherry,4824.0
svs002-svp023,rep3,median_mcherry,10120.0
svs002-svp023,rep3,median_mcherry,9145.0
svs002-svp023,rep3,median_mcherry,557.0
svs002-svp023,rep3,median_mcherry,2073.0
svs002-svp023,rep3,median_mcherry,773.0
svs002-svp023,rep3,median_mcherry,7308.0
svs002-svp023,rep3,median_mcherry,1102.0
svs002-svp023,rep3,median_mcherry,4650.0
svs002-svp023,rep3,median_mcherry,2524.0
svs002-svp023,rep3,median_mcherry,1004.0
svs002-svp023,rep3,median_mcherry,6109.0
svs002-svp023,rep3,median_mcherry,20933.0
svs002-svp023,rep3,median_mcherry,13590.0
svs002-svp023,rep3,median_mcherry,772.0
svs002-svp023,rep3,median_mcherry,4449.0
svs002-svp023,rep3,median_mcherry,9596.0
svs002-svp023,rep3,median_mcherry,9525.0
svs002-svp023,rep3,median_mcherry,1706.0
svs002-svp023,rep3,median_mcherry,1842.0
svs002-svp023,rep3,median_mcherry,12524.0
svs002-svp023,rep3,median_mcherry,9276.0
svs002-svp023,rep3,median_mcherry,3060.0
svs002-svp023,rep3,median_mcherry,8360.0
svs002-svp023,rep3,median_mcherry,7042.0
svs002-svp023,rep3,median_mcherry,1236.0
svs002-svp023,rep3,median_mcherry,2266.0
svs002-svp023,rep3,median_mcherry,2029.0
svs002-svp023,rep3,median_mcherry,716.0
svs002-svp023,rep3,median_mcherry,7184.0
svs002-svp023,rep3,median_mcherry,7534.0
svs002-svp023,rep3,median_mcherry,1107.0
svs002-svp023,rep3,median_mcherry,7629.0
svs002-svp023,rep3,median_mcherry,9221.0
svs002-svp023,rep3,median_mcherry,6283.0
svs002-svp023,rep3,median_mcherry,5392.0
svs002-svp023,rep3,median_mcherry,537.0
svs002-svp023,rep3,median_mcherry,1798.0
svs002-svp023,rep3,median_mcherry,721.0
svs002-svp023,rep3,median_mcherry,1778.0
svs002-svp023,rep3,median_mcherry,2810.0
svs002-svp023,rep3,median_mcherry,7800.0
svs002-svp023,rep3,median_mcherry,4253.0
svs002-svp023,rep3,median_mcherry,956.0
svs002-svp023,rep3,median_mcherry,2384.0
svs002-svp023,rep3,median_mcherry,1069.0
svs002-svp023,rep3,median_mcherry,4782.0
svs002-svp023,rep3,median_mcherry,1742.0
svs002-svp023,rep3,median_mcherry,863.0
svs002-svp023,rep3,median_mcherry,968.0
svs002-svp023,rep3,median_mcherry,2368.0
svs002-svp023,rep3,median_mcherry,813.0
svs002-svp023,rep3,median_mcherry,9897.0
svs002-svp023,rep3,median_mcherry,2760.0
svs002-svp023,rep3,median_mcherry,2985.0
svs002-svp023,rep3,median_mcherry,4776.0
svs002-svp023,rep3,median_mcherry,1238.0
svs002-svp023,rep3,median_mcherry,2296.0
svs002-svp023,rep3,median_mcherry,3104.0
svs002-svp023,rep3,median_mcherry,3072.0
svs002-svp023,rep3,median_mcherry,769.0
svs002-svp023,rep3,median_mcherry,4168.0
svs002-svp023,rep3,median_mcherry,2725.0
svs002-svp023,rep3,median_mcherry,865.0
svs002-svp023,rep3,median_mcherry,477.0
svs002-svp023,rep3,median_mcherry,3212.0
svs002-svp023,rep3,median_mcherry,4677.0
svs002-svp023,rep3,median_mcherry,5994.0
svs002-svp023,rep3,median_mcherry,4424.0
svs002-svp023,rep3,median_mcherry,1086.0
svs002-svp023,rep3,median_mcherry,4669.0
svs002-svp023,rep3,median_mcherry,6772.0
svs002-svp023,rep3,median_mcherry,2305.0
svs002-svp023,rep3,median_mcherry,1587.0
svs002-svp023,rep3,median_mcherry,1286.0
svs002-svp023,rep3,median_mcherry,10019.0
svs002-svp023,rep3,median_mcherry,12043.0
svs002-svp023,rep3,median_mcherry,1448.0
svs002-svp023,rep3,median_mcherry,1010.0
svs002-svp023,rep3,median_mcherry,2120.0
svs002-svp023,rep3,median_mcherry,7461.0
svs002-svp023,rep3,median_mcherry,3364.0
svs002-svp023,rep3,median_mcherry,1787.0
svs002-svp023,rep3,median_mcherry,960.0
svs002-svp023,rep3,median_mcherry,5329.0
svs002-svp023,rep3,median_mcherry,2865.0
svs002-svp023,rep3,median_mcherry,2912.0
svs002-svp023,rep3,median_mcherry,2141.0
svs002-svp023,rep3,median_mcherry,7821.0
svs002-svp023,rep3,median_mcherry,13096.0
svs002-svp023,rep3,median_mcherry,3089.0
svs002-svp023,rep3,median_mcherry,936.0
svs002-svp023,rep3,median_mcherry,3658.0
svs002-svp023,rep3,median_mcherry,1356.0
svs002-svp023,rep3,median_mcherry,7345.0
svs002-svp023,rep3,median_mcherry,3844.0
svs002-svp023,rep3,median_mcherry,3910.0
svs002-svp023,rep3,median_mcherry,4761.0
svs002-svp023,rep3,median_mcherry,15526.0
svs002-svp023,rep3,median_mcherry,1490.0
svs002-svp023,rep3,median_mcherry,5588.0
svs002-svp023,rep3,median_mcherry,833.0
svs002-svp023,rep3,median_mcherry,11812.0
svs002-svp023,rep3,median_mcherry,961.0
svs002-svp023,rep3,median_mcherry,5281.0
svs002-svp023,rep3,median_mcherry,6864.0
svs002-svp023,rep3,median_mcherry,2361.0
svs002-svp023,rep3,median_mcherry,2176.0
svs002-svp023,rep3,median_mcherry,1568.0
svs002-svp023,rep3,median_mcherry,4549.0
svs002-svp023,rep3,median_mcherry,4548.0
svs002-svp023,rep3,median_mcherry,1001.0
svs002-svp023,rep3,median_mcherry,2588.0
svs002-svp023,rep3,median_mcherry,4011.0
svs002-svp023,rep3,median_mcherry,1103.0
svs002-svp023,rep3,median_mcherry,168.0
svs002-svp023,rep3,median_mcherry,3208.0
svs002-svp023,rep3,median_mcherry,7890.0
svs002-svp023,rep3,median_mcherry,12604.0
svs002-svp023,rep3,median_mcherry,2853.0
svs002-svp023,rep3,median_mcherry,10436.0
svs002-svp023,rep3,median_mcherry,3024.0
svs002-svp023,rep3,median_mcherry,2284.0
svs002-svp023,rep3,median_mcherry,6353.0
svs002-svp023,rep3,median_mcherry,6788.0
svs002-svp023,rep3,median_mcherry,12372.0
svs002-svp023,rep3,median_mcherry,6740.0
svs002-svp023,rep3,median_mcherry,3533.0
svs002-svp023,rep3,median_mcherry,5164.0
svs002-svp023,rep3,median_mcherry,2277.0
svs002-svp023,rep3,median_mcherry,4540.0
svs002-svp023,rep3,median_mcherry,3505.0
svs002-svp023,rep3,median_mcherry,750.0
svs002-svp023,rep3,median_mcherry,6045.0
svs002-svp023,rep3,median_mcherry,4357.0
svs002-svp023,rep3,median_mcherry,1759.0
svs002-svp023,rep3,median_mcherry,8721.0
svs002-svp023,rep3,median_mcherry,5653.0
svs002-svp023,rep3,median_mcherry,3636.0
svs002-svp023,rep3,median_mcherry,4933.0
svs002-svp023,rep3,median_mcherry,16253.0
svs002-svp023,rep3,median_mcherry,4873.0
svs002-svp023,rep3,median_mcherry,2431.0
svs002-svp023,rep3,median_mcherry,4405.0
svs002-svp023,rep3,median_mcherry,4297.0
svs002-svp023,rep3,median_mcherry,2124.0
svs002-svp023,rep3,median_mcherry,7163.0
svs002-svp023,rep3,median_mcherry,2984.0
svs002-svp023,rep3,median_mcherry,3664.0
svs002-svp023,rep3,median_mcherry,18396.0
svs002-svp023,rep3,median_mcherry,5449.0
svs002-svp023,rep3,median_mcherry,2915.0
svs002-svp023,rep3,median_mcherry,8661.0
svs002-svp023,rep3,median_mcherry,3877.0
svs002-svp023,rep3,median_mcherry,618.0
svs002-svp023,rep3,median_mcherry,1411.0
svs002-svp023,rep3,median_mcherry,2092.0
svs002-svp023,rep3,median_mcherry,2043.0
svs002-svp023,rep3,median_mcherry,7085.0
svs002-svp023,rep3,median_mcherry,1232.0
svs002-svp023,rep3,median_mcherry,1097.0
svs002-svp023,rep3,median_mcherry,836.0
svs002-svp023,rep3,median_mcherry,1598.0
svs002-svp023,rep3,median_mcherry,1465.0
svs002-svp023,rep3,median_mcherry,5241.0
svs002-svp023,rep3,median_mcherry,5464.0
svs002-svp023,rep3,median_mcherry,7545.0
svs002-svp023,rep3,median_mcherry,16981.0
svs002-svp023,rep3,median_mcherry,552.0
svs002-svp023,rep3,median_mcherry,1608.0
svs002-svp023,rep3,median_mcherry,3620.0
svs002-svp023,rep3,median_mcherry,6222.0
svs002-svp023,rep3,median_mcherry,1248.0
svs002-svp023,rep3,median_mcherry,8196.0
svs002-svp023,rep3,median_mcherry,1649.0
svs002-svp023,rep3,median_mcherry,2886.0
svs002-svp023,rep3,median_mcherry,6409.0
svs002-svp023,rep3,median_mcherry,4748.0
svs002-svp023,rep3,median_mcherry,1926.0
svs002-svp023,rep3,median_mcherry,7086.0
svs002-svp023,rep3,median_mcherry,1287.0
svs002-svp023,rep3,median_mcherry,10332.0
svs002-svp023,rep3,median_mcherry,3028.0
svs002-svp023,rep3,median_mcherry,546.0
svs002-svp023,rep3,median_mcherry,11064.0
svs002-svp023,rep3,median_mcherry,1592.0
svs002-svp023,rep3,median_mcherry,1130.0
svs002-svp023,rep3,median_mcherry,1025.0
svs002-svp023,rep3,median_mcherry,3709.0
svs002-svp023,rep3,median_mcherry,4200.0
svs002-svp023,rep3,median_mcherry,557.0
svs002-svp023,rep3,median_mcherry,3401.0
svs002-svp023,rep3,median_mcherry,3541.0
svs002-svp023,rep3,median_mcherry,1232.0
svs002-svp023,rep3,median_mcherry,14207.0
svs002-svp023,rep3,median_mcherry,3564.0
svs002-svp023,rep3,median_mcherry,2361.0
svs002-svp023,rep3,median_mcherry,3261.0
svs002-svp023,rep3,median_mcherry,1208.0
svs002-svp023,rep3,median_mcherry,7431.0
svs002-svp023,rep3,median_mcherry,5204.0
svs002-svp023,rep3,median_mcherry,3728.0
svs002-svp023,rep3,median_mcherry,3262.0
svs002-svp023,rep3,median_mcherry,11192.0
svs002-svp023,rep3,median_mcherry,22596.0
svs002-svp023,rep3,median_mcherry,5289.0
svs002-svp023,rep3,median_mcherry,9753.0
svs002-svp023,rep3,median_mcherry,1169.0
svs002-svp023,rep3,median_mcherry,632.0
svs002-svp023,rep3,median_mcherry,5627.0
svs002-svp023,rep3,median_mcherry,9173.0
svs002-svp023,rep3,median_mcherry,7828.0
svs002-svp023,rep3,median_mcherry,7604.0
svs002-svp023,rep3,median_mcherry,3203.0
svs002-svp023,rep3,median_mcherry,7148.0
svs002-svp023,rep3,median_mcherry,7368.0
svs002-svp023,rep3,median_mcherry,2331.0
svs002-svp023,rep3,median_mcherry,3640.0
svs002-svp023,rep3,median_mcherry,792.0
svs002-svp023,rep3,median_mcherry,869.0
svs002-svp023,rep3,median_mcherry,942.0
svs002-svp023,rep3,median_mcherry,1842.0
svs002-svp023,rep3,median_mcherry,6109.0
svs002-svp023,rep3,median_mcherry,5172.0
svs002-svp023,rep3,median_mcherry,1089.0
svs002-svp023,rep3,median_mcherry,775.0
svs002-svp023,rep3,median_mcherry,5636.0
svs002-svp023,rep3,median_mcherry,3700.0
svs002-svp023,rep3,median_mcherry,5774.0
svs002-svp023,rep3,median_mcherry,9221.0
svs002-svp023,rep3,median_mcherry,4742.0
svs002-svp023,rep3,median_mcherry,7189.0
svs002-svp023,rep3,median_mcherry,3036.0
svs002-svp023,rep3,median_mcherry,879.0
svs002-svp023,rep3,median_mcherry,4708.0
svs002-svp023,rep3,median_mcherry,3915.0
svs002-svp023,rep3,median_mcherry,2885.0
svs002-svp023,rep3,median_mcherry,1345.0
svs002-svp023,rep3,median_mcherry,7924.0
svs002-svp023,rep3,median_mcherry,2565.0
svs002-svp023,rep3,median_mcherry,12643.0
svs002-svp023,rep3,median_mcherry,2614.0
svs002-svp023,rep3,median_mcherry,861.0
svs002-svp023,rep3,median_mcherry,654.0
svs002-svp023,rep3,median_mcherry,3549.0
svs002-svp023,rep3,median_mcherry,4932.0
svs002-svp023,rep3,median_mcherry,837.0
svs002-svp023,rep3,median_mcherry,764.0
svs002-svp023,rep3,median_mcherry,2181.0
svs002-svp023,rep3,median_mcherry,4705.0
svs002-svp023,rep3,median_mcherry,5986.0
svs002-svp023,rep3,median_mcherry,3148.0
svs002-svp023,rep3,median_mcherry,2184.0
svs002-svp023,rep3,median_mcherry,4842.0
svs002-svp023,rep3,median_mcherry,1233.0
