strain,replicate,metric,intensity
svs002-svp005,rep1,median_mcherry,30468.0
svs002-svp005,rep1,median_mcherry,1639.0
svs002-svp005,rep1,median_mcherry,1724.0
svs002-svp005,rep1,median_mcherry,51919.0
svs002-svp005,rep1,median_mcherry,38388.0
svs002-svp005,rep1,median_mcherry,31125.0
svs002-svp005,rep1,median_mcherry,35967.0
svs002-svp005,rep1,median_mcherry,21857.0
svs002-svp005,rep1,median_mcherry,27681.0
svs002-svp005,rep1,median_mcherry,15675.0
svs002-svp005,rep1,median_mcherry,107199.0
svs002-svp005,rep1,median_mcherry,29065.0
svs002-svp005,rep1,median_mcherry,87228.0
svs002-svp005,rep1,median_mcherry,51632.0
svs002-svp005,rep1,median_mcherry,77488.0
svs002-svp005,rep1,median_mcherry,791.0
svs002-svp005,rep1,median_mcherry,30048.0
svs002-svp005,rep1,median_mcherry,114258.0
svs002-svp005,rep1,median_mcherry,922.0
svs002-svp005,rep1,median_mcherry,1473.0
svs002-svp005,rep1,median_mcherry,15576.0
svs002-svp005,rep1,median_mcherry,1979.0
svs002-svp005,rep1,median_mcherry,25868.0
svs002-svp005,rep1,median_mcherry,26361.0
svs002-svp005,rep1,median_mcherry,36829.0
svs002-svp005,rep1,median_mcherry,120608.0
svs002-svp005,rep1,median_mcherry,112324.0
svs002-svp005,rep1,median_mcherry,1492.0
svs002-svp005,rep1,median_mcherry,43953.0
svs002-svp005,rep1,median_mcherry,34624.0
svs002-svp005,rep1,median_mcherry,16467.0
svs002-svp005,rep1,median_mcherry,13357.0
svs002-svp005,rep1,median_mcherry,16456.0
svs002-svp005,rep1,median_mcherry,45368.0
svs002-svp005,rep1,median_mcherry,1368.0
svs002-svp005,rep1,median_mcherry,19686.0
svs002-svp005,rep1,median_mcherry,19665.0
svs002-svp005,rep1,median_mcherry,41653.0
svs002-svp005,rep1,median_mcherry,40063.0
svs002-svp005,rep1,median_mcherry,1104.0
svs002-svp005,rep1,median_mcherry,31992.0
