colony_id,x,y,frame,position,replicate
1,6.405405405405405,380.5,58,pos13,replicate2
10,684.0310262529833,362.5226730310263,85,pos13,replicate2
20,147.6043956043956,266.72527472527474,105,pos13,replicate2
40,6.613207547169812,438.5754716981132,152,pos13,replicate2
75,425.0,332.0,187,pos13,replicate2
83,39.94117647058823,338.7352941176471,193,pos13,replicate2
99,370.4324324324325,368.4054054054054,203,pos13,replicate2
102,324.9318181818182,252.95454545454547,205,pos13,replicate2
105,703.3529411764706,405.05882352941177,206,pos13,replicate2
109,452.0625,295.21875,208,pos13,replicate2
134,585.0769230769231,506.4807692307692,67,pos14,replicate2
135,442.6666666666667,347.125,68,pos14,replicate2
140,368.08,241.2,75,pos14,replicate2
148,249.59782608695653,204.59782608695653,91,pos14,replicate2
162,464.2603550295858,515.6449704142012,112,pos14,replicate2
175,108.07123287671232,239.9808219178082,131,pos14,replicate2
177,725.3461538461538,338.8076923076923,131,pos14,replicate2
231,5.123711340206185,364.10309278350513,173,pos14,replicate2
255,674.953125,228.28125,186,pos14,replicate2
276,86.81395348837209,191.6279069767442,203,pos14,replicate2
299,717.5737704918033,256.4918032786885,62,pos15,replicate2
304,620.0,269.3917525773196,74,pos15,replicate2
305,354.42233009708735,307.9546925566343,75,pos15,replicate2
306,528.7836734693877,325.33061224489796,79,pos15,replicate2
308,48.1219512195122,361.7560975609756,80,pos15,replicate2
368,721.2173913043479,498.8695652173913,121,pos15,replicate2
380,144.7872340425532,263.51063829787233,132,pos15,replicate2
382,101.5,460.92,133,pos15,replicate2
445,475.90909090909093,403.4848484848485,215,pos15,replicate2
453,166.7051282051282,227.02564102564105,66,pos16,replicate2
454,431.6263736263736,206.94505494505495,72,pos16,replicate2
474,314.59090909090907,214.3068181818182,90,pos16,replicate2
477,210.58854166666663,409.3385416666667,91,pos16,replicate2
498,378.90697674418607,364.0,115,pos16,replicate2
509,650.7181208053692,268.5234899328859,127,pos16,replicate2
532,4.7105263157894735,310.9078947368421,168,pos16,replicate2
549,51.166666666666664,263.78205128205127,196,pos16,replicate2
569,80.16847826086956,338.25,62,pos18,replicate2
571,387.9302325581395,332.13953488372096,64,pos18,replicate2
587,326.79651162790697,287.9011627906977,73,pos18,replicate2
597,546.5353535353536,166.8939393939394,77,pos18,replicate2
613,22.333333333333332,186.26666666666668,81,pos18,replicate2
615,129.2941176470588,249.2156862745098,83,pos18,replicate2
621,375.5,275.5,87,pos18,replicate2
624,133.30769230769232,253.88888888888889,89,pos18,replicate2
668,314.1095890410959,218.1095890410959,134,pos18,replicate2
681,479.0208333333333,414.7916666666667,145,pos18,replicate2
683,319.93650793650795,348.3492063492063,146,pos18,replicate2
734,314.921568627451,277.3333333333333,176,pos18,replicate2
753,285.4561403508772,349.9298245614035,188,pos18,replicate2
758,401.6463414634146,335.0243902439024,191,pos18,replicate2
763,361.9117647058824,380.72058823529414,195,pos18,replicate2
765,397.9634146341463,296.2439024390244,196,pos18,replicate2
769,352.05882352941177,286.3970588235294,197,pos18,replicate2
775,339.23636363636365,207.01818181818183,201,pos18,replicate2
791,307.5276073619632,192.82822085889572,210,pos18,replicate2
808,586.97265625,278.640625,77,pos19,replicate2
813,442.8571428571428,262.987012987013,92,pos19,replicate2
870,146.72413793103448,365.8965517241379,157,pos19,replicate2
886,245.0,434.0,183,pos19,replicate2
898,13.876923076923076,325.73846153846154,204,pos19,replicate2
