colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
1856,291.3448275862069,296.7931034482759,81,pos3,rep1,6.75,18.93741379310345,19.291551724137932,"(15.0, 20.0]","(15.0, 20.0]"
2065,321.5406504065041,363.5813008130081,86,pos3,rep1,7.166666666666666,20.900142276422766,23.63278455284553,"(20.0, 25.0]","(20.0, 25.0]"
2193,172.50306748466258,345.0490797546012,88,pos3,rep1,7.333333333333333,11.212699386503068,22.42819018404908,"(10.0, 15.0]","(20.0, 25.0]"
2258,601.3787878787879,297.6515151515151,89,pos3,rep1,7.416666666666666,39.089621212121216,19.347348484848485,"(35.0, 40.0]","(15.0, 20.0]"
2628,630.6336633663366,465.63696369636966,93,pos3,rep1,7.75,40.99118811881188,30.26640264026403,"(40.0, 45.0]","(30.0, 35.0]"
2725,566.6538461538462,471.15384615384613,94,pos3,rep1,7.833333333333333,36.8325,30.625,"(35.0, 40.0]","(30.0, 35.0]"
2794,732.1666666666666,397.6363636363636,95,pos3,rep1,7.916666666666666,47.590833333333336,25.846363636363638,"(45.0, 50.0]","(25.0, 30.0]"
5371,416.7142857142857,404.7857142857143,93,pos4,rep1,7.75,27.086428571428574,26.311071428571427,"(25.0, 30.0]","(25.0, 30.0]"
5481,101.37128712871286,311.9950495049505,95,pos4,rep1,7.916666666666666,6.589133663366336,20.279678217821782,"(5.0, 10.0]","(20.0, 25.0]"
5965,41.361702127659576,314.6595744680851,101,pos4,rep1,8.416666666666666,2.6885106382978727,20.452872340425532,"(-0.001, 5.0]","(20.0, 25.0]"
6057,379.1358024691358,298.48148148148147,102,pos4,rep1,8.5,24.643827160493828,19.401296296296294,"(20.0, 25.0]","(15.0, 20.0]"
6292,52.08510638297872,320.0851063829787,105,pos4,rep1,8.75,3.385531914893617,20.805531914893617,"(-0.001, 5.0]","(20.0, 25.0]"
6654,354.88732394366195,346.5633802816901,112,pos4,rep1,9.333333333333332,23.067676056338026,22.52661971830986,"(20.0, 25.0]","(20.0, 25.0]"
6710,292.609756097561,293.719512195122,114,pos4,rep1,9.5,19.019634146341463,19.09176829268293,"(15.0, 20.0]","(15.0, 20.0]"
6783,110.77358490566036,301.33962264150944,116,pos4,rep1,9.666666666666666,7.200283018867924,19.587075471698114,"(5.0, 10.0]","(15.0, 20.0]"
6828,658.919540229885,331.5402298850575,117,pos4,rep1,9.75,42.82977011494253,21.550114942528737,"(40.0, 45.0]","(20.0, 25.0]"
7159,253.6969696969697,277.3636363636364,127,pos4,rep1,10.583333333333332,16.490303030303032,18.028636363636366,"(15.0, 20.0]","(15.0, 20.0]"
7363,672.8983050847457,300.135593220339,133,pos4,rep1,11.083333333333332,43.738389830508474,19.508813559322036,"(40.0, 45.0]","(15.0, 20.0]"
7626,142.33333333333334,300.4166666666667,141,pos4,rep1,11.75,9.251666666666667,19.527083333333334,"(5.0, 10.0]","(15.0, 20.0]"
7683,168.52777777777777,255.16666666666663,143,pos4,rep1,11.916666666666666,10.954305555555555,16.58583333333333,"(10.0, 15.0]","(15.0, 20.0]"
7730,370.65060240963857,278.7710843373494,144,pos4,rep1,12.0,24.092289156626506,18.120120481927714,"(20.0, 25.0]","(15.0, 20.0]"
7798,521.8939393939394,309.59090909090907,146,pos4,rep1,12.166666666666666,33.92310606060606,20.12340909090909,"(30.0, 35.0]","(20.0, 25.0]"
8142,741.6372549019608,341.72549019607845,158,pos4,rep1,13.166666666666666,48.206421568627455,22.2121568627451,"(45.0, 50.0]","(20.0, 25.0]"
8283,269.2040816326531,304.7755102040816,163,pos4,rep1,13.583333333333332,17.498265306122452,19.810408163265308,"(15.0, 20.0]","(15.0, 20.0]"
8412,614.6063829787234,327.6595744680851,168,pos4,rep1,14.0,39.949414893617025,21.29787234042553,"(35.0, 40.0]","(20.0, 25.0]"
8435,119.02439024390245,310.0,169,pos4,rep1,14.083333333333332,7.736585365853659,20.150000000000002,"(5.0, 10.0]","(20.0, 25.0]"
8550,645.7727272727273,258.64772727272725,174,pos4,rep1,14.5,41.975227272727274,16.812102272727273,"(40.0, 45.0]","(15.0, 20.0]"
8910,190.5,283.32608695652175,77,pos5,rep1,6.416666666666666,12.3825,18.416195652173915,"(10.0, 15.0]","(15.0, 20.0]"
8911,330.77777777777777,285.1111111111111,77,pos5,rep1,6.416666666666666,21.500555555555557,18.53222222222222,"(20.0, 25.0]","(15.0, 20.0]"
9068,400.68131868131866,358.14285714285717,80,pos5,rep1,6.666666666666666,26.044285714285714,23.279285714285717,"(25.0, 30.0]","(20.0, 25.0]"
9165,132.48275862068965,324.62068965517244,82,pos5,rep1,6.833333333333333,8.611379310344828,21.10034482758621,"(5.0, 10.0]","(20.0, 25.0]"
9213,403.0788381742738,332.72614107883817,83,pos5,rep1,6.916666666666666,26.200124481327798,21.62719917012448,"(25.0, 30.0]","(20.0, 25.0]"
9294,68.75,335.3833333333333,84,pos5,rep1,7.0,4.46875,21.799916666666668,"(-0.001, 5.0]","(20.0, 25.0]"
9315,228.38983050847455,405.6779661016949,84,pos5,rep1,7.0,14.845338983050846,26.369067796610167,"(10.0, 15.0]","(25.0, 30.0]"
9439,520.2133333333334,359.94666666666666,86,pos5,rep1,7.166666666666666,33.81386666666667,23.396533333333334,"(30.0, 35.0]","(20.0, 25.0]"
9745,183.61977186311788,464.8022813688213,89,pos5,rep1,7.416666666666666,11.935285171102663,30.212148288973385,"(10.0, 15.0]","(30.0, 35.0]"
9746,290.63157894736844,454.3333333333333,89,pos5,rep1,7.416666666666666,18.891052631578948,29.531666666666666,"(15.0, 20.0]","(25.0, 30.0]"
102,160.4538650843547,495.23227992530394,7,pos1,rep1,0.5833333333333333,10.429501230483057,32.190098195144756,"(10.0, 15.0]","(30.0, 35.0]"
103,270.4993463690529,261.574066238616,14,pos1,rep1,1.1666666666666665,17.582457513988437,17.00231430551004,"(15.0, 20.0]","(15.0, 20.0]"
104,638.3225988822907,229.91714696493568,22,pos1,rep1,1.8333333333333333,41.490968927348895,14.94461455272082,"(40.0, 45.0]","(10.0, 15.0]"
105,615.7105136868047,263.08153858498173,22,pos1,rep1,1.8333333333333333,40.0211833896423,17.10030000802381,"(40.0, 45.0]","(15.0, 20.0]"
106,691.0841310050911,323.38043243961084,31,pos1,rep1,2.583333333333333,44.920468515330924,21.019728108574707,"(40.0, 45.0]","(20.0, 25.0]"
107,743.8456631278916,244.99187042859296,31,pos1,rep1,2.583333333333333,48.34996810331295,15.924471577858544,"(45.0, 50.0]","(15.0, 20.0]"
108,651.8898499995821,359.5597687523883,31,pos1,rep1,2.583333333333333,42.37284024997284,23.371384968905243,"(40.0, 45.0]","(20.0, 25.0]"
109,336.828129609145,315.84307070778226,31,pos1,rep1,2.583333333333333,21.893828424594425,20.529799596005848,"(20.0, 25.0]","(20.0, 25.0]"
110,278.0367081008816,272.12637266317614,31,pos1,rep1,2.583333333333333,18.072386026557304,17.68821422310645,"(15.0, 20.0]","(15.0, 20.0]"
111,119.75211173248007,327.9028494787081,31,pos1,rep1,2.583333333333333,7.783887262611205,21.313685216116028,"(5.0, 10.0]","(20.0, 25.0]"
112,119.75211173248007,273.63384500954186,31,pos1,rep1,2.583333333333333,7.783887262611205,17.78619992562022,"(5.0, 10.0]","(15.0, 20.0]"
113,32.318715643267836,214.8424235012785,31,pos1,rep1,2.583333333333333,2.1007165168124096,13.964757527583103,"(-0.001, 5.0]","(10.0, 15.0]"
