colony_id,x,y,frame,position,replicate,hours,x_um,y_um,y_bin,x_bin,regrowth
0,,,,pos11,replicate3,,,,,,no
0,,,,pos12,replicate3,,,,,,no
0,,,,pos13,replicate3,,,,,,no
1,517.8492981669797,176.67703814894733,100.0,pos14,replicate3,8.333333333333332,33.66020438085368,11.484007479681576,"(10.0, 15.0]","(30.0, 35.0]",yes
0,,,,pos15,replicate3,,,,,,no
0,,,,pos16,replicate3,,,,,,no
0,,,,pos17,replicate3,,,,,,no
0,,,,pos18,replicate3,,,,,,no
0,,,,pos19,replicate3,,,,,,no
0,,,,pos20,replicate3,,,,,,no
