colony_id,x,y,frame,position,replicate,hours,x_um,y_um,y_bin,x_bin,regrowth
1.0,367.8014468,328.0646024,200.0,pos7,rep2,16.666666666666664,23.907094042,21.324199156000002,"(20.0, 25.0]","(20.0, 25.0]",yes
2.0,201.67704,191.4138807,90.0,pos9,rep2,7.5,13.1090076,12.4419022455,"(10.0, 15.0]","(10.0, 15.0]",yes
3.0,140.0502439,247.6818249,90.0,pos9,rep2,7.5,9.1032658535,16.0993186185,"(15.0, 20.0]","(5.0, 10.0]",yes
4.0,198.9976141,475.4330279,90.0,pos9,rep2,7.5,12.9348449165,30.9031468135,"(30.0, 35.0]","(10.0, 15.0]",yes
