target,partner,timepoint,checkerboard,colonies,dilution,volume,cfu,survival,cfu_substract,survival_substract
S. aureus,P. aeruginosa wt,0,mixed,26,0.0001,4,65000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,mixed,19,0.0001,4,47500.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,mixed,13,0.0001,4,32500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,mixed,22,0.0001,4,55000.0,1.0,,
S. aureus,P. aeruginosa wt,0,small,24,0.0001,4,60000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,small,20,0.0001,4,50000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,small,26,0.0001,4,65000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,small,18,0.0001,4,45000.0,1.0,,
S. aureus,P. aeruginosa wt,0,medium,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,medium,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,medium,13,0.0001,4,32500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,medium,15,0.0001,4,37500.0,1.0,,
S. aureus,P. aeruginosa wt,0,big,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,big,11,0.0001,4,27500.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,big,25,0.0001,4,62500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,big,26,0.0001,4,65000.0,1.0,,
S. aureus,P. aeruginosa wt,1,mixed,67,0.1,100,6.7,0.00010307692307692309,5.74,8.830769230769231e-05
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,mixed,96,1.0,100,0.96,2.0210526315789472e-05,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,mixed,12,0.1,100,1.2,3.692307692307692e-05,0.24,7.384615384615384e-06
S. aureus,P. aeruginosa rhlAB+,1,mixed,30,1.0,100,0.3,5.4545454545454545e-06,-0.6599999999999999,-1.1999999999999999e-05
S. aureus,P. aeruginosa wt,1,small,152,0.001,100,1520.0,0.025333333333333333,750.0,0.0125
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,small,77,0.001,100,770.0,0.0154,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,small,154,0.001,100,1540.0,0.023692307692307693,770.0,0.011846153846153847
S. aureus,P. aeruginosa rhlAB+,1,small,133,0.001,100,1330.0,0.029555555555555557,560.0,0.012444444444444444
S. aureus,P. aeruginosa wt,1,medium,123,0.001,100,1230.0,0.028941176470588234,430.0,0.01011764705882353
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,medium,80,0.001,100,800.0,0.022857142857142857,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,medium,90,0.001,100,900.0,0.027692307692307693,100.0,0.003076923076923077
S. aureus,P. aeruginosa rhlAB+,1,medium,65,0.001,100,650.0,0.017333333333333333,-150.0,-0.004
S. aureus,P. aeruginosa wt,1,big,107,1.0,100,1.07,3.057142857142857e-05,-0.1299999999999999,-3.7142857142857112e-06
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,big,120,1.0,100,1.2,4.3636363636363636e-05,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,big,178,1.0,100,1.78,2.8480000000000002e-05,0.5800000000000001,9.280000000000001e-06
S. aureus,P. aeruginosa rhlAB+,1,big,192,1.0,100,1.92,2.9538461538461537e-05,0.72,1.1076923076923077e-05
P. aeruginosa wt,S. aureus,0,mixed,32,0.001,4,8000.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,mixed,18,0.001,4,4500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,mixed,17,0.001,4,4250.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,mixed,17,0.001,4,4250.0,1.0,,
P. aeruginosa wt,S. aureus,0,small,22,0.001,4,5500.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,small,22,0.001,4,5500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,small,16,0.001,4,4000.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,small,20,0.001,4,5000.0,1.0,,
P. aeruginosa wt,S. aureus,0,medium,32,0.001,4,8000.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,medium,18,0.001,4,4500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,medium,22,0.001,4,5500.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,medium,23,0.001,4,5750.0,1.0,,
P. aeruginosa wt,S. aureus,0,big,32,0.001,4,8000.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,big,28,0.001,4,7000.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,big,26,0.001,4,6500.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,big,29,0.001,4,7250.0,1.0,,
