target,partner,timepoint,checkerboard,colonies,dilution,volume,cfu,survival,cfu_substract,survival_substract
S. aureus,P. aeruginosa wt,0,mixed,6,0.0001,4,15000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,mixed,8,0.0001,4,20000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,mixed,6,0.0001,4,15000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,mixed,9,0.0001,4,22500.0,1.0,,
S. aureus,P. aeruginosa wt,0,small,11,0.0001,4,27500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,small,12,0.0001,4,30000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,small,10,0.0001,4,25000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,small,15,0.0001,4,37500.0,1.0,,
S. aureus,P. aeruginosa wt,0,medium,15,0.0001,4,37500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,medium,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,medium,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,medium,13,0.0001,4,32500.0,1.0,,
S. aureus,P. aeruginosa wt,0,big,11,0.0001,4,27500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,big,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,big,10,0.0001,4,25000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,big,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa wt,1,mixed,31,0.1,100,3.1,0.00020666666666666668,2.52,0.000168
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,mixed,58,1.0,100,0.58,2.8999999999999997e-05,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,mixed,100,0.1,100,10.0,0.0006666666666666666,9.42,0.000628
S. aureus,P. aeruginosa rhlAB+,1,mixed,44,1.0,100,0.44,1.9555555555555557e-05,-0.13999999999999996,-6.222222222222221e-06
S. aureus,P. aeruginosa wt,1,small,160,0.001,100,1600.0,0.05818181818181818,1370.0,0.04981818181818182
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,small,23,0.001,100,230.0,0.007666666666666666,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,small,140,0.001,100,1400.0,0.056,1170.0,0.0468
S. aureus,P. aeruginosa rhlAB+,1,small,120,0.001,100,1200.0,0.032,970.0,0.025866666666666666
S. aureus,P. aeruginosa wt,1,medium,120,0.001,100,1200.0,0.032,1000.0,0.02666666666666667
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,medium,20,0.001,100,200.0,0.005714285714285714,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,medium,130,0.001,100,1300.0,0.03058823529411765,1100.0,0.02588235294117647
S. aureus,P. aeruginosa rhlAB+,1,medium,59,0.001,100,590.0,0.018153846153846152,390.0,0.012
S. aureus,P. aeruginosa wt,1,big,30,0.1,100,3.0,0.00010909090909090909,-1.5,-5.4545454545454546e-05
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,big,45,0.1,100,4.5,0.00012857142857142858,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,big,50,0.1,100,5.0,0.0002,0.5,2e-05
S. aureus,P. aeruginosa rhlAB+,1,big,34,0.1,100,3.4,9.714285714285714e-05,-1.1,-3.142857142857143e-05
P. aeruginosa wt,S. aureus,0,mixed,15,0.001,4,3750.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,mixed,18,0.001,4,4500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,mixed,13,0.001,4,3250.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,mixed,10,0.001,4,2500.0,1.0,,
P. aeruginosa wt,S. aureus,0,small,39,0.001,4,9750.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,small,33,0.001,4,8250.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,small,15,0.001,4,3750.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,small,14,0.001,4,3500.0,1.0,,
P. aeruginosa wt,S. aureus,0,medium,33,0.001,4,8250.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,medium,37,0.001,4,9250.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,medium,25,0.001,4,6250.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,medium,20,0.001,4,5000.0,1.0,,
P. aeruginosa wt,S. aureus,0,big,42,0.001,4,10500.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,big,34,0.001,4,8500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,big,31,0.001,4,7750.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,big,22,0.001,4,5500.0,1.0,,
