Target,Donor,Supernatant,Antibiotics,Timepoint,Replicates,Colonies,Dilution,CFU,Survival
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),0h,3,38,1e-05,759999999.9999999,1.0
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),1h,1,42,1e-05,840000000.0,1.1351351351351353
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),1h,2,46,1e-05,920000000.0,1.069767441860465
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),1h,3,36,1e-05,719999999.9999999,0.9473684210526315
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),4h,1,5,1e-05,99999999.99999999,0.13513513513513514
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),4h,2,2,1e-05,39999999.99999999,0.04651162790697674
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),4h,3,2,1e-05,39999999.99999999,0.05263157894736842
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),8h,1,11,0.001,2200000.0,0.0029729729729729734
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),8h,2,11,0.001,2200000.0,0.0025581395348837207
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),8h,3,8,0.001,1600000.0,0.0021052631578947372
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.702702702702703e-07
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,2.3255813953488372e-07
SVS002,Tn lasB,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.6315789473684213e-07
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),0h,1,35,1e-05,699999999.9999999,1.0
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),0h,2,43,1e-05,860000000.0,1.0
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),0h,3,31,1e-05,619999999.9999999,1.0
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),1h,1,33,1e-05,659999999.9999999,0.9428571428571428
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),1h,2,41,1e-05,819999999.9999999,0.9534883720930231
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),1h,3,36,1e-05,719999999.9999999,1.1612903225806452
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),4h,1,15,1e-05,299999999.99999994,0.42857142857142855
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),4h,2,12,1e-05,240000000.0,0.27906976744186046
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),4h,3,12,1e-05,240000000.0,0.3870967741935485
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),8h,1,16,0.0001,32000000.0,0.04571428571428572
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),8h,2,22,0.0001,44000000.0,0.05116279069767442
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),8h,3,21,0.0001,42000000.0,0.06774193548387097
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,2.8571428571428575e-07
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,2.3255813953488372e-07
SVS002,Tn lasI,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,3.225806451612904e-07
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),0h,1,45,1e-05,900000000.0,1.0
SVS002,Tn mucA,1mM cumate,Tobramycin (58µg/ml),0h,2,24,1e-05,480000000.0,1.0
