pos,y_bin_label,time_hours,mean_intensity,std_intensity,n_cells,y_min,y_max
pos18,Back,0.0,634.5907940981347,70.24331517604148,1437,4.0,241.39344262295083
pos18,Back,0.08333333333333333,609.1079886176631,69.08787880804294,1369,3.407407407407407,241.04761904761904
pos18,Back,0.16666666666666666,598.2287100384901,68.42557200632648,1405,4.229166666666667,241.375
pos18,Back,0.25,587.9525442678108,67.02733654695709,1419,4.16,241.3793103448276
pos18,Back,0.3333333333333333,574.7722567962834,67.32213242038648,1318,4.425531914893617,241.3870967741935
pos18,Back,0.41666666666666663,564.2021888550626,67.3239095618583,1304,3.9210526315789473,241.53846153846155
pos18,Back,0.5,551.0209719697505,62.906353503107525,1384,4.078947368421052,241.4
pos18,Back,0.5833333333333333,546.8203197158543,62.64740130712082,1410,3.5,241.5252525252525
pos18,Back,0.6666666666666666,527.2261274723331,58.99399388291467,1386,3.926829268292683,241.42857142857144
pos18,Back,0.75,516.2017032794073,60.556722267346586,1197,4.5,241.4
pos18,Back,0.8333333333333333,508.70059749731854,60.42034443886266,1231,4.0,240.6829268292683
pos18,Back,0.9166666666666666,500.4709121776922,57.63844676964517,1231,4.384615384615385,241.56603773584905
pos18,Back,1.0,491.14644262324725,55.408809567579915,1257,4.473684210526316,241.42424242424244
pos18,Back,1.0833333333333333,485.11019034765064,55.506685420621324,1236,4.153846153846154,241.5
pos18,Back,1.1666666666666665,479.01953170309713,52.45949021743805,1392,3.3666666666666667,241.125
pos18,Back,1.25,471.8889317649869,55.2419156415962,1252,4.636363636363637,241.5806451612903
pos18,Back,1.3333333333333333,466.23594280980865,53.990306147649115,1274,4.5,241.47272727272727
pos18,Back,1.4166666666666665,456.8484289188337,49.77387238073729,1344,3.9166666666666665,241.5
pos18,Back,1.5,448.7694056620856,50.14806896542668,1313,4.4363636363636365,241.44827586206895
pos18,Back,1.5833333333333333,439.7565618874883,49.19782176159825,1287,4.576271186440678,241.0
pos18,Back,1.6666666666666665,434.7200231406627,47.867832417094185,1421,4.0,241.5
pos18,Back,1.75,421.3943424682335,45.38071330530621,1405,3.375,241.56603773584905
pos18,Back,1.8333333333333333,413.6891719876292,45.23965104739958,1418,4.075,241.5438596491228
pos18,Back,1.9166666666666665,404.88712923035354,43.63803454830986,1393,4.915492957746479,241.25641025641025
pos18,Back,2.0,399.1137049299832,42.951986547317944,1370,4.435483870967742,241.5
pos18,Back,2.083333333333333,391.9955559976705,42.33911395088847,1397,3.928571428571429,241.43283582089552
