replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.001252664659473002
rep1,x,5.0,0.001252664659473002
rep1,x,10.0,0.0029228842054370044
rep1,x,15.0,0.005010658637892008
rep1,x,20.0,0.002087774432455003
rep1,x,25.0,0.0020877744324550034
rep1,x,30.0,0.004593103751401008
rep1,x,35.0,0.004175548864910007
rep1,x,40.0,0.0029228842054370044
rep1,x,45.0,0.007098433070347011
rep1,y,0.0,0.0
rep1,y,5.0,0.00041755488649100066
rep1,y,10.0,0.0016702195459640027
rep1,y,15.0,0.007515987956838012
rep1,y,20.0,0.00626332329736501
rep1,y,25.0,0.008351097729820013
rep1,y,30.0,0.006680878183856011
rep1,y,35.0,0.0016702195459640027
rep1,y,40.0,0.0008351097729820013
rep1,y,45.0,0.0
